City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Current Description
1033,Pudozh,61.8099,36.5345,57.96,94,84,2.57,RU,2021-08-11 01:44:08,broken clouds,
1034,Vestmanna,62.1564,-7.1664,45.52,100,90,3.44,FO,2021-08-11 01:44:08,overcast clouds,
1035,Pabrade,55.0,25.7833,57.63,88,100,3.96,LT,2021-08-11 01:44:08,overcast clouds,
1036,Fayaoue,-20.65,166.5333,70.39,63,63,23.02,NC,2021-08-11 01:44:08,broken clouds,
1037,Sao Joao Da Barra,-21.6403,-41.0511,70.48,86,19,17.56,BR,2021-08-11 01:44:09,few clouds,
1038,Luanda,-8.8368,13.2343,73.4,88,75,10.36,AO,2021-08-11 01:44:09,light rain,
1039,Pakxan,18.3778,103.6601,79.77,91,100,2.24,LA,2021-08-11 01:44:10,moderate rain,
1040,Sena Madureira,-9.0656,-68.6569,78.64,45,7,1.7,BR,2021-08-11 01:44:10,clear sky,
1041,Balaguer,41.7912,0.8109,76.41,49,0,4.79,ES,2021-08-11 01:44:10,clear sky,
1042,Dingle,10.9995,122.6711,84.72,67,89,3.53,PH,2021-08-11 01:44:11,overcast clouds,
1043,Hamilton,39.1834,-84.5333,83.25,89,20,1.01,US,2021-08-11 01:44:11,few clouds,
1044,Coquimbo,-29.9533,-71.3436,51.53,87,0,4.61,CL,2021-08-11 01:42:36,clear sky,
1045,Hobyo,5.3505,48.5268,76.17,80,99,20.49,SO,2021-08-11 01:44:11,overcast clouds,
1046,Alice Springs,-23.7,133.8833,78.35,17,0,9.22,AU,2021-08-11 01:43:43,clear sky,
1047,Abadiania,-16.2042,-48.7069,68.92,42,11,1.63,BR,2021-08-11 01:44:04,few clouds,
1048,Fairfield,41.2668,-73.3162,76.19,90,90,5.75,US,2021-08-11 01:40:47,overcast clouds,
1049,Marbella,36.5154,-4.8858,78.26,81,48,5.3,ES,2021-08-11 01:44:12,scattered clouds,
1050,Sussex,41.1834,-74.6663,76.05,91,1,6.91,US,2021-08-11 01:44:12,clear sky,
1051,Belaya Gora,68.5333,146.4167,77.7,33,35,5.06,RU,2021-08-11 01:44:12,scattered clouds,
1052,Avera,33.194,-82.5271,81.91,80,30,4.18,US,2021-08-11 01:44:13,scattered clouds,
1053,Oussouye,12.485,-16.5469,78.76,85,100,3.94,SN,2021-08-11 01:44:13,light rain,
1054,Grindavik,63.8424,-22.4338,51.75,93,40,5.75,IS,2021-08-11 01:44:13,scattered clouds,
1055,Westport,41.1415,-73.3579,77.27,92,40,5.99,US,2021-08-11 01:44:14,scattered clouds,
1056,Shingu,33.7333,135.9833,85.19,69,100,8.39,JP,2021-08-11 01:44:14,overcast clouds,
1057,Goundam,16.4145,-3.6708,83.97,64,96,13.18,ML,2021-08-11 01:44:15,overcast clouds,
1058,Vestmannaeyjar,63.4427,-20.2734,52.7,82,63,11.63,IS,2021-08-11 01:44:15,broken clouds,
1059,Preobrazheniye,42.9019,133.9064,65.64,68,100,15.99,RU,2021-08-11 01:44:15,overcast clouds,
1060,Kununurra,-15.7667,128.7333,85.98,32,4,4.61,AU,2021-08-11 01:43:06,clear sky,
1061,Puerto Montt,-41.4698,-72.9447,47.23,87,90,9.22,CL,2021-08-11 01:44:10,overcast clouds,
1062,Birao,10.2849,22.7882,70.99,96,100,4.63,CF,2021-08-11 01:44:16,overcast clouds,
1063,Pangody,65.85,74.4859,53.53,71,0,9.17,RU,2021-08-11 01:44:16,clear sky,
1064,Zaysan,47.4667,84.8667,71.38,34,100,1.3,KZ,2021-08-11 01:44:16,overcast clouds,
1065,Villa Guerrero,18.8667,-99.65,66.58,89,88,3.2,MX,2021-08-11 01:44:17,overcast clouds,
1066,Ahmadpur Sial,30.6754,71.7483,84.07,42,0,15.5,PK,2021-08-11 01:44:17,clear sky,
1067,Goundi,9.3627,17.366,70.12,98,100,2.82,TD,2021-08-11 01:44:17,light rain,
1068,Longyearbyen,78.2186,15.6401,42.64,87,20,2.3,SJ,2021-08-11 01:44:18,few clouds,
1069,Surt,31.2089,16.5887,80.62,72,0,4.07,LY,2021-08-11 01:44:18,clear sky,
1070,Waharoa,-37.7667,175.7667,61.92,76,62,7.92,NZ,2021-08-11 01:44:18,broken clouds,
1071,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,52,40,6.71,RU,2021-08-11 01:44:19,scattered clouds,
1072,Flinders,-34.5833,150.8552,79.05,54,0,4.0,AU,2021-08-11 01:44:19,clear sky,
1073,Havelock,34.8791,-76.9013,82.94,88,3,6.6,US,2021-08-11 01:42:06,clear sky,
1074,Vao,-22.6667,167.4833,67.08,60,50,22.1,NC,2021-08-11 01:44:20,scattered clouds,
1075,Palmer,42.1584,-72.3287,75.99,89,82,1.99,US,2021-08-11 01:44:20,broken clouds,
